"variable,question_text,description,type,values"
"consent,""I am 18+ and consent to take part. I understand anonymised data will be published openly."",""Consent to participate and allow anonymised data to be published."",""categorical"",""Yes"""
"prolific_id,""Please enter your Prolific ID (this is required to receive payment)."",""Unique Prolific participant identifier."",""text"",""Free text"""
"ai_tools_frequency,""How often do you use digital or AI-powered tools (e.g., ChatGPT, Copilot, Gemini, AI-enhanced search) in your daily life?"",""Frequency of AI or digital tool use in daily life."",""categorical"","""""
"question_information_trustworthiness,""I often question whether information I see online is trustworthy."",""Frequency of questioning the trustworthiness of online information."",""numeric"",""1–7 (standard Likert agreement scale)"""
"hard_to_know_what_is_real,""It feels harder than it used to be to know what is real and what is not online."",""Perceived difficulty distinguishing what is real online compared with the past."",""numeric,""1–7 (standard Likert agreement scale)"""
"worry_ai_makes_deception_easier,""I worry that AI-generated content makes it easier to deceive people."",""Concern that AI-generated content increases the ease of deceiving people."",""numeric"",""1–7 (standard Likert agreement scale)"""
"feel_uncertain_even_when_credible,""I sometimes feel uncertain even when the information seems credible."",""Frequency of feeling uncertain even when information appears credible."",""numeric"",""1–7 (standard Likert agreement scale)"""
"recent_moment_questioned_reality,""Think of a time recently when you questioned whether something online was real. What made you unsure?"",""Open-ended description of a recent moment of doubting whether something online was real."",""text"",""Free text"""
"least_trusted_online_areas_multi,""Which online areas do you trust the least? (select up to 3)"",""Least trusted online areas (multi-select)."",""multi_select"","""""
"feel_overwhelmed_by_conflicting_info,""I feel overwhelmed by the amount of conflicting information online."",""Feeling overwhelmed by conflicting information online."",""numeric"",""1–7 (standard Likert agreement scale)"""
"unsure_which_sources_to_rely_on,""I often feel unsure which sources to rely on."",""Frequency of feeling unsure which information sources to trust."",""numeric"",""1–7 (standard Likert agreement scale)"""
"difficult_to_detect_manipulated_info,""I find it difficult to tell when information has been manipulated."",""Perceived difficulty detecting manipulated information online."",""numeric"",""1–7 (standard Likert agreement scale)"""
"content_conflicts_with_values,""Digital content often conflicts with my personal values."",""Perception that digital content conflicts with personal values."",""numeric"",""1–7 (standard Likert agreement scale)"""
"honesty_truth_harder_to_protect,""Honesty and truth are harder to protect in a digital world shaped by AI."",""Belief that honesty and truth are harder to protect in an AI-shaped digital world."",""numeric"",""1–7 (standard Likert agreement scale)"""
"values_influence_trust_judgements,""My personal values influence what I decide to trust online."",""Extent to which personal values shape what is trusted online."",""numeric"",""1–7 (standard Likert agreement scale)"""
"ai_content_makes_trust_harder,""AI-generated content makes it harder to know what to trust."",""Perception that AI-generated content makes trust decisions more difficult."",""numeric"",""1–7 (standard Likert agreement scale)"""
"trust_ai_for_accuracy,""I trust AI systems to give me accurate information."",""Trust in AI systems to provide accurate information."",""numeric"",""1–7 (standard Likert agreement scale)"""
"worry_ai_presents_false_info,""I worry AI systems might confidently present false information."",""Concern that AI systems may confidently present false or misleading information."",""numeric"",""1–7 (standard Likert agreement scale)"""
"prefer_human_judgement_for_accuracy,""I prefer human judgement over AI-generated answers when accuracy matters."",""Preference for human judgement over AI-generated answers when accuracy is important."",""numeric"",""1–7 (standard Likert agreement scale)"""
"trust_ai_content_detection,""I trust AI tools to detect AI-generated content accurately."",""Trust in AI tools to accurately detect AI-generated or synthetic content."",""numeric"",""1–7 (standard Likert agreement scale)"""
"worry_ai_detectors_will_fail,""I worry that AI detection tools will fail as AI content becomes more realistic."",""Concern that AI detection tools will become less reliable as AI content improves."",""numeric"",""1–7 (standard Likert agreement scale)"""
"rely_on_ai_detectors_for_synthetic_content,""I would rely on AI detection tools to tell me whether something is synthetic."",""Willingness to rely on AI detection tools to identify synthetic content."",""numeric"",""1–7 (standard Likert agreement scale)"""
"anxious_when_uncertain_what_to_trust,""Not knowing what to trust makes me feel anxious or uneasy."",""Anxiety or unease caused by not knowing what to trust online."",""numeric"",""1–7 (standard Likert agreement scale)"""
"avoid_online_content_due_to_uncertainty,""I sometimes avoid engaging with online content because I don't know what to believe."",""Tendency to avoid online content due to uncertainty about what to believe."",""numeric"",""1–7 (standard Likert agreement scale)"""
"biggest_digital_trust_concern,""Which area of digital trust concerns you the most?"",""Open-ended response about the most concerning area of digital trust."",""text"",""Free text"""
"what_worries_you_most_about_digital_trust,""What worries you most about digital trust today — and why?"",""Open-ended explanation of key worries about digital trust and reasons why."",""text"",""Free text"""
"process_for_verifying_uncertain_content,""When you're unsure whether something online is real or trustworthy, what do you usually do? Please describe your process or steps in your own words."",""Open-ended description of the process used to verify uncertain online content."",""text"",""Free text"""
"signals_used_to_judge_trustworthiness,""When deciding whether something online is real or trustworthy, what signals or clues matter most to you? (For example: source, writing style, visual quality, social proof, intuition, past experience, warnings, etc.)"",""Open-ended description of cues and signals used to judge whether something online is real or trustworthy."",""text"",""Free text"""
"confidence_verifying_information,""I feel confident verifying information online."",""Self-rated confidence in ability to verify online information."",""numeric"",""1–7 (standard Likert agreement scale)"""
"double_check_when_unsure,""When I'm unsure, I double-check using other sources."",""Tendency to verify information using additional sources when unsure."",""numeric"",""1–7 (standard Likert agreement scale)"""
"strategies_for_identifying_unreliable_content,""I have strategies that help me identify unreliable content."",""Perceived presence of strategies for spotting unreliable online content."",""numeric"",""1–7 (standard Likert agreement scale)"""
"want_clearer_verification_methods,""I would like clearer ways to verify whether something online is real."",""Desire for clearer methods to verify whether online content is real or trustworthy."",""numeric"",""1–7 (standard Likert agreement scale)"""
"trust_ai_to_act_in_best_interests,""How much do you trust AI systems to act in your best interests?"",""Level of trust that AI systems act in the participant's best interests."",""numeric"",""1–7 (standard Likert agreement scale)"""
"what_matters_most,""How clear do you feel about what matters most in your life right now?"",""Self-rated clarity about what matters most in life."",""numeric"",""1–7 (standard Likert agreement scale)"""
"digital_life_effect_on_focus,""How much does modern digital life affect your ability to focus, decide, or think clearly?"",""Perceived impact of modern digital life on focus, decision-making, and clear thinking."",""numeric"",""1–7 (standard Likert agreement scale)"""
"feelings_about_ai_in_decision_making,""How do you feel about the growing role of AI in everyday decision-making?"",""Overall feeling about AI’s growing role in everyday decision-making."",""numeric"",""1–7 (standard Likert agreement scale)"""
"ai_values_multi,""Which values do you believe AI systems should reflect? (select up to 3)"",""Values participants believe AI systems should reflect (multi-select)."",""multi_select"","""""
"age_group,""What is your age group?"",""Participant age group category."",""categorical"","""""
"work_status,""Which of the following best describes your current work status?"",""Participant employment status."",""categorical"","""""
"education_level,""What is your highest level of education?"",""Participant highest level of education completed."",""categorical"","""""
"country,""Country of residence"",""Participant country of residence."",""categorical"","""""
"gender,""Which of the following best describes your gender?"",""Participant gender identity (self-described within listed categories)."",""categorical"","""""
"emotional_wellbeing,""How would you describe your general emotional wellbeing?"",""Self-rated general emotional wellbeing."",""categorical"",""1–7 (1 = Very poor, 7 = Excellent)"""
